Epochs,Training Loss,Validation Loss
72.0,17107.00144458691,4668.81714398541
73.0,17107.001125772764,4668.817060634767
74.0,17107.000815591913,4668.816979541218
75.0,17107.00051369854,4668.8169006143335
76.0,17107.000219764857,4668.816823768436
77.0,17106.99993348024,4668.816748922323
78.0,17106.99965455009,4668.816675998948
79.0,17106.99938269462,4668.8166049251795
80.0,17106.999117648083,4668.816535631537
81.0,17106.9988591579,4668.816468051992
82.0,17106.99860698387,4668.816402123739
83.0,17106.998360897294,4668.816337786983
84.0,17106.99812068044,4668.8162749848125
85.0,17106.997886125806,4668.816213662966
86.0,17106.997657035576,4668.816153769732
87.0,17106.997433221015,4668.816095255776
88.0,17106.99721450202,4668.816038074002
89.0,17106.99700070658,4668.815982179431
90.0,17106.996791670295,4668.815927529103
91.0,17106.996587236048,4668.81587408193
92.0,17106.996387253563,4668.815821798619
93.0,17106.996191579034,4668.815770641579
94.0,17106.996000074738,4668.815720574809
95.0,17106.99581260879,4668.815671563824
96.0,17106.99562905487,4668.815623575594
97.0,17106.99544929174,4668.815576578431
98.0,17106.99527320328,4668.815530541961
99.0,17106.995100677825,4668.815485437023
100.0,17106.99493160849,4668.815441235637
101.0,17106.99476589239,4668.81539791093
102.0,17106.994603430816,4668.815355437075
103.0,17106.994444128795,4668.815313789258
104.0,17106.994287895097,4668.815272943618
105.0,17106.994134641922,4668.815232877206
106.0,17106.9939842848,4668.815193567942
107.0,17106.993836742447,4668.815154994558
108.0,17106.99369193647,4668.8151171366
109.0,17106.99354979161,4668.815079974337
110.0,17106.993410235096,4668.815043488776
111.0,17106.9932731969,4668.815007661606
112.0,17106.99313860949,4668.814972475166
113.0,17106.993006407705,4668.814937912424
114.0,17106.99287652869,4668.8149039569425
115.0,17106.99274891176,4668.814870592872
116.0,17106.99262349838,4668.814837804875
117.0,17106.99250023194,4668.81480557818
118.0,17106.99237905775,4668.814773898496
119.0,17106.99225992307,4668.8147427520125
120.0,17106.992142776802,4668.81471212538
121.0,17106.9920275696,4668.814682005697
122.0,17106.991914253755,4668.814652380483
123.0,17106.991802783003,4668.814623237659
124.0,17106.991693112745,4668.814594565545
125.0,17106.991585199616,4668.814566352823
126.0,17106.991479001812,4668.814538588551
127.0,17106.99137447871,4668.814511262113
128.0,17106.991271591036,4668.81448436324
129.0,17106.99117030073,4668.814457881982
130.0,17106.991070570853,4668.81443180868
131.0,17106.99097236565,4668.814406133984
132.0,17106.990875650394,4668.8143808488285
133.0,17106.99078039148,4668.81435594441
134.0,17106.990686556233,4668.814331412196
135.0,17106.99059411297,4668.814307243914
136.0,17106.990503031,4668.814283431515
137.0,17106.99041328041,4668.814259967202
138.0,17106.990324832324,4668.814236843399
139.0,17106.990237658516,4668.814214052749
140.0,17106.990151731654,4668.814191588106
141.0,17106.990067025225,4668.814169442523
142.0,17106.98998351334,4668.814147609252
143.0,17106.989901170982,4668.8141260817365
144.0,17106.989819973725,4668.814104853594
145.0,17106.989739897886,4668.814083918632
146.0,17106.989660920302,4668.814063270813
147.0,17106.989583018658,4668.814042904266
148.0,17106.989506171078,4668.814022813294
149.0,17106.98943035626,4668.814002992342
150.0,17106.989355553575,4668.813983435997
151.0,17106.9892817429,4668.813964138996
152.0,17106.989208904637,4668.813945096218
153.0,17106.989137019642,4668.8139263026715
154.0,17106.989066069393,4668.813907753499
155.0,17106.988996035703,4668.8138894439635
156.0,17106.98892690104,4668.813871369447
157.0,17106.988858648114,4668.813853525465
158.0,17106.988791260173,4668.813835907625
159.0,17106.988724720926,4668.813818511665
160.0,17106.988659014423,4668.813801333409
161.0,17106.988594125087,4668.813784368808
162.0,17106.988530037826,4668.813767613895
163.0,17106.98846673782,4668.813751064805
164.0,17106.98840421072,4668.813734717772
165.0,17106.98834244238,4668.8137185691185
166.0,17106.988281419148,4668.813702615259
167.0,17106.988221127533,4668.813686852682
168.0,17106.988161554553,4668.813671277975
169.0,17106.988102687377,4668.813655887794
170.0,17106.988044513557,4668.813640678886
171.0,17106.987987020904,4668.813625648064
172.0,17106.987930197556,4668.813610792219
173.0,17106.987874031878,4668.813596108315
174.0,17106.987818512483,4668.813581593382
175.0,17106.98776362835,4668.813567244524
176.0,17106.987709368594,4668.813553058904
177.0,17106.98765572259,4668.813539033755
178.0,17106.987602680096,4668.813525166368
179.0,17106.98755023086,4668.813511454097
180.0,17106.98749836507,4668.813497894354
181.0,17106.987447073032,4668.813484484613
182.0,17106.987396345226,4668.813471222391
183.0,17106.987346172486,4668.813458105272
184.0,17106.987296545656,4668.813445130885
185.0,17106.987247455938,4668.813432296916
186.0,17106.98719889463,4668.813419601098
187.0,17106.987150853278,4668.8134070412125
188.0,17106.987103323514,4668.813394615087
189.0,17106.987056297305,4668.813382320597
190.0,17106.987009766613,4668.813370155662
191.0,17106.986963723673,4668.813358118245
192.0,17106.98691816088,4668.813346206352
193.0,17106.986873070735,4668.81333441803
194.0,17106.98682844593,4668.813322751365
195.0,17106.986784279285,4668.813311204486
196.0,17106.986740563814,4668.813299775554
197.0,17106.98669729262,4668.81328846278
198.0,17106.98665445895,4668.813277264391
199.0,17106.986612056233,4668.813266178665
200.0,17106.986570077974,4668.8132552039215
201.0,17106.986528517835,4668.813244338484
202.0,17106.986487369635,4668.813233580737
203.0,17106.986446627256,4668.813222929088
204.0,17106.986406284745,4668.813212381979
205.0,17106.986366336154,4668.813201937868
206.0,17106.986326775863,4668.813191595265
207.0,17106.986287598167,4668.813181352689
208.0,17106.98624879753,4668.813171208701
209.0,17106.986210368606,4668.813161161882
210.0,17106.98617230606,4668.813151210846
211.0,17106.98613460464,4668.813141354226
212.0,17106.986097259225,4668.813131590689
213.0,17106.98606026486,4668.813121918915
214.0,17106.986023616544,4668.813112337625
215.0,17106.98598730953,4668.813102845552
216.0,17106.985951338982,4668.813093441452
217.0,17106.985915700323,4668.813084124112
218.0,17106.98588038889,4668.813074892342
219.0,17106.985845400297,4668.813065744959
220.0,17106.98581073011,4668.813056680822
221.0,17106.98577637395,4668.81304769879
222.0,17106.985742327633,4668.813038797752
223.0,17106.985708586944,4668.813029976627
224.0,17106.985675147782,4668.813021234338
225.0,17106.98564200618,4668.813012569832
226.0,17106.98560915818,4668.813003982077
227.0,17106.985576599815,4668.812995470055
228.0,17106.98554432732,4668.812987032777
229.0,17106.985512336974,4668.812978669256
230.0,17106.98548062506,4668.81297037853
231.0,17106.985449187956,4668.812962159655
232.0,17106.985418022166,4668.812954011695
233.0,17106.985387124096,4668.812945933742
234.0,17106.98535649041,4668.8129379248985
235.0,17106.98532611765,4668.812929984282
236.0,17106.985296002516,4668.812922111017
237.0,17106.985266141757,4668.812914304256
238.0,17106.985236532197,4668.81290656316
239.0,17106.9852071706,4668.812898886905
240.0,17106.98517805396,4668.812891274678
241.0,17106.985149179138,4668.812883725682
242.0,17106.985120543202,4668.8128762391325
243.0,17106.985092143124,4668.812868814256
244.0,17106.9850639761,4668.812861450293
245.0,17106.985036039176,4668.812854146499
246.0,17106.985008329633,4668.812846902148
247.0,17106.984980844616,4668.8128397165
248.0,17106.984953581483,4668.8128325888565
249.0,17106.984926537516,4668.812825518518
250.0,17106.9848997101,4668.812818504791
251.0,17106.984873096655,4668.812811546998
252.0,17106.984846694606,4668.81280464448
253.0,17106.984820501475,4668.812797796575
254.0,17106.98479451476,4668.812791002632
255.0,17106.98476873205,4668.812784262034
256.0,17106.984743150904,4668.812777574142
257.0,17106.98471776906,4668.812770938336
