Epochs,Training Loss,Validation Loss
86.0,1.9256339021608782e+21,4.992349732999162e+20
87.0,1.9256339021608782e+21,4.992349732999162e+20
88.0,1.9256339021608782e+21,4.992349732999162e+20
89.0,1.9256339021608782e+21,4.992349732999162e+20
90.0,1.9256339021608782e+21,4.992349732999162e+20
91.0,1.9256339021608782e+21,4.992349732999162e+20
92.0,1.9256339021608782e+21,4.992349732999162e+20
93.0,1.9256339021608782e+21,4.992349732999162e+20
94.0,1.9256339021608782e+21,4.992349732999162e+20
95.0,1.9256339021608782e+21,4.992349732999162e+20
96.0,1.9256339021608782e+21,4.992349732999162e+20
97.0,1.9256339021608782e+21,4.992349732999162e+20
98.0,1.9256339021608782e+21,4.992349732999162e+20
99.0,1.9256339021608782e+21,4.992349732999162e+20
100.0,1.9256339021608782e+21,4.992349732999162e+20
101.0,1.9256339021608782e+21,4.992349732999162e+20
102.0,1.9256339021608782e+21,4.992349732999162e+20
103.0,1.9256339021608782e+21,4.992349732999162e+20
104.0,1.9256339021608782e+21,4.992349732999162e+20
105.0,1.9256339021608782e+21,4.992349732999162e+20
106.0,1.9256339021608782e+21,4.992349732999162e+20
107.0,1.9256339021608782e+21,4.992349732999162e+20
108.0,1.9256339021608782e+21,4.992349732999162e+20
109.0,1.9256339021608782e+21,4.992349732999162e+20
110.0,1.9256339021608782e+21,4.992349732999162e+20
111.0,1.9256339021608782e+21,4.992349732999162e+20
112.0,1.9256339021608782e+21,4.992349732999162e+20
113.0,1.9256339021608782e+21,4.992349732999162e+20
114.0,1.9256339021608782e+21,4.992349732999162e+20
115.0,1.9256339021608782e+21,4.992349732999162e+20
116.0,1.9256339021608782e+21,4.992349732999162e+20
117.0,1.9256339021608782e+21,4.992349732999162e+20
118.0,1.9256339021608782e+21,4.992349732999162e+20
119.0,1.9256339021608782e+21,4.992349732999162e+20
120.0,1.9256339021608782e+21,4.992349732999162e+20
121.0,1.9256339021608782e+21,4.992349732999162e+20
122.0,1.9256339021608782e+21,4.992349732999162e+20
123.0,1.9256339021608782e+21,4.992349732999162e+20
124.0,1.9256339021608782e+21,4.992349732999162e+20
125.0,1.9256339021608782e+21,4.992349732999162e+20
126.0,1.9256339021608782e+21,4.992349732999162e+20
127.0,1.9256339021608782e+21,4.992349732999162e+20
128.0,1.9256339021608782e+21,4.992349732999162e+20
129.0,1.9256339021608782e+21,4.992349732999162e+20
130.0,1.9256339021608782e+21,4.992349732999162e+20
131.0,1.9256339021608782e+21,4.992349732999162e+20
132.0,1.9256339021608782e+21,4.992349732999162e+20
133.0,1.9256339021608782e+21,4.992349732999162e+20
134.0,1.9256339021608782e+21,4.992349732999162e+20
135.0,1.9256339021608782e+21,4.992349732999162e+20
136.0,1.9256339021608782e+21,4.992349732999162e+20
137.0,1.9256339021608782e+21,4.992349732999162e+20
138.0,1.9256339021608782e+21,4.992349732999162e+20
139.0,1.9256339021608782e+21,4.992349732999162e+20
140.0,1.9256339021608782e+21,4.992349732999162e+20
141.0,1.9256339021608782e+21,4.992349732999162e+20
142.0,1.9256339021608782e+21,4.992349732999162e+20
143.0,1.9256339021608782e+21,4.992349732999162e+20
144.0,1.9256339021608782e+21,4.992349732999162e+20
145.0,1.9256339021608782e+21,4.992349732999162e+20
146.0,1.9256339021608782e+21,4.992349732999162e+20
147.0,1.9256339021608782e+21,4.992349732999162e+20
148.0,1.9256339021608782e+21,4.992349732999162e+20
149.0,1.9256339021608782e+21,4.992349732999162e+20
150.0,1.9256339021608782e+21,4.992349732999162e+20
151.0,1.9256339021608782e+21,4.992349732999162e+20
152.0,1.9256339021608782e+21,4.992349732999162e+20
153.0,1.9256339021608782e+21,4.992349732999162e+20
154.0,1.9256339021608782e+21,4.992349732999162e+20
155.0,1.9256339021608782e+21,4.992349732999162e+20
156.0,1.9256339021608782e+21,4.992349732999162e+20
157.0,1.9256339021608782e+21,4.992349732999162e+20
158.0,1.9256339021608782e+21,4.992349732999162e+20
159.0,1.9256339021608782e+21,4.992349732999162e+20
160.0,1.9256339021608782e+21,4.992349732999162e+20
161.0,1.9256339021608782e+21,4.992349732999162e+20
162.0,1.9256339021608782e+21,4.992349732999162e+20
163.0,1.9256339021608782e+21,4.992349732999162e+20
164.0,1.9256339021608782e+21,4.992349732999162e+20
165.0,1.9256339021608782e+21,4.992349732999162e+20
166.0,1.9256339021608782e+21,4.992349732999162e+20
167.0,1.9256339021608782e+21,4.992349732999162e+20
168.0,1.9256339021608782e+21,4.992349732999162e+20
169.0,1.9256339021608782e+21,4.992349732999162e+20
170.0,1.9256339021608782e+21,4.992349732999162e+20
171.0,1.9256339021608782e+21,4.992349732999162e+20
172.0,1.9256339021608782e+21,4.992349732999162e+20
173.0,1.9256339021608782e+21,4.992349732999162e+20
174.0,1.9256339021608782e+21,4.992349732999162e+20
175.0,1.9256339021608782e+21,4.992349732999162e+20
176.0,1.9256339021608782e+21,4.992349732999162e+20
177.0,1.9256339021608782e+21,4.992349732999162e+20
178.0,1.9256339021608782e+21,4.992349732999162e+20
179.0,1.9256339021608782e+21,4.992349732999162e+20
180.0,1.9256339021608782e+21,4.992349732999162e+20
181.0,1.9256339021608782e+21,4.992349732999162e+20
182.0,1.9256339021608782e+21,4.992349732999162e+20
183.0,1.9256339021608782e+21,4.992349732999162e+20
184.0,1.9256339021608782e+21,4.992349732999162e+20
185.0,1.9256339021608782e+21,4.992349732999162e+20
186.0,1.9256339021608782e+21,4.992349732999162e+20
187.0,1.9256339021608782e+21,4.992349732999162e+20
188.0,1.9256339021608782e+21,4.992349732999162e+20
189.0,1.9256339021608782e+21,4.992349732999162e+20
190.0,1.9256339021608782e+21,4.992349732999162e+20
191.0,1.9256339021608782e+21,4.992349732999162e+20
192.0,1.9256339021608782e+21,4.992349732999162e+20
193.0,1.9256339021608782e+21,4.992349732999162e+20
194.0,1.9256339021608782e+21,4.992349732999162e+20
195.0,1.9256339021608782e+21,4.992349732999162e+20
196.0,1.9256339021608782e+21,4.992349732999162e+20
197.0,1.9256339021608782e+21,4.992349732999162e+20
198.0,1.9256339021608782e+21,4.992349732999162e+20
199.0,1.9256339021608782e+21,4.992349732999162e+20
200.0,1.9256339021608782e+21,4.992349732999162e+20
201.0,1.9256339021608782e+21,4.992349732999162e+20
202.0,1.9256339021608782e+21,4.992349732999162e+20
203.0,1.9256339021608782e+21,4.992349732999162e+20
204.0,1.9256339021608782e+21,4.992349732999162e+20
205.0,1.9256339021608782e+21,4.992349732999162e+20
206.0,1.9256339021608782e+21,4.992349732999162e+20
207.0,1.9256339021608782e+21,4.992349732999162e+20
208.0,1.9256339021608782e+21,4.992349732999162e+20
209.0,1.9256339021608782e+21,4.992349732999162e+20
210.0,1.9256339021608782e+21,4.992349732999162e+20
211.0,1.9256339021608782e+21,4.992349732999162e+20
212.0,1.9256339021608782e+21,4.992349732999162e+20
213.0,1.9256339021608782e+21,4.992349732999162e+20
214.0,1.9256339021608782e+21,4.992349732999162e+20
215.0,1.9256339021608782e+21,4.992349732999162e+20
216.0,1.9256339021608782e+21,4.992349732999162e+20
217.0,1.9256339021608782e+21,4.992349732999162e+20
218.0,1.9256339021608782e+21,4.992349732999162e+20
219.0,1.9256339021608782e+21,4.992349732999162e+20
220.0,1.9256339021608782e+21,4.992349732999162e+20
221.0,1.9256339021608782e+21,4.992349732999162e+20
222.0,1.9256339021608782e+21,4.992349732999162e+20
223.0,1.9256339021608782e+21,4.992349732999162e+20
224.0,1.9256339021608782e+21,4.992349732999162e+20
225.0,1.9256339021608782e+21,4.992349732999162e+20
226.0,1.9256339021608782e+21,4.992349732999162e+20
227.0,1.9256339021608782e+21,4.992349732999162e+20
228.0,1.9256339021608782e+21,4.992349732999162e+20
229.0,1.9256339021608782e+21,4.992349732999162e+20
230.0,1.9256339021608782e+21,4.992349732999162e+20
