height_over_sea_level,fall,net,fall_1,flow,power_of_hydroelectrical_turbine
594,59.84,58.415,6.5,3156.0,1852667942.4
620,85.16,85.765,3.5,2424.09,2025132298.164
611,75.99,76.165,5.0,3321.19,2475820607.661
626,90.84,90.415,6.5,5263.2,4690250153.28
594,59.99,59.165,5.0,2438.06,1434802942.314
619,83.99,84.165,5.0,3657.27,3013377992.613
597,63.16,62.765,3.5,1717.89,1064403956.8440001
610,74.99,75.165,5.0,3275.22,2409421815.9179997
600,66.16,65.765,3.5,1825.74,1184959301.9039998
621,86.1,86.55,4.0,2872.73,2426425539.93
599,64.94,63.92,5.5,2990.32,1905017445.6480002
626,91.04,91.365,4.5,3464.56,3094206850.9440002
600,66.04,65.365,4.5,2453.44,1589466992.2560003
604,70.16,69.765,3.5,1962.86,1350976867.0559998
614,78.69,77.54,8.0,5458.55,4213721668.095
606,70.94,70.92,5.5,3421.99,2381436071.586
601,66.94,65.92,5.5,3114.68,2045352422.9519997
625,90.16,90.765,3.5,2537.26,2244129337.296
617,81.74,80.84,7.5,5426.81,4351592878.614
619,83.69,82.54,8.0,5867.76,4817424505.464
615,79.69,78.54,8.0,5545.11,4334939093.978999
597,62.94,61.92,5.5,2871.29,1772853317.406
606,70.79,70.14,7.0,4333.94,3009704199.606
619,83.74,82.84,7.5,5566.34,4572689306.796
597,62.74,60.84,7.5,3762.95,2316018208.23
616,81.16,81.765,3.5,2316.5,1844350043.3999999
614,78.99,79.165,5.0,3451.51,2674547141.769
629,93.79,93.14,7.0,5841.71,5374839952.629001
620,84.59,82.84,9.0,6355.79,5274211868.541
602,67.69,65.54,8.0,4379.76,2908331012.664
607,71.89,71.665,6.0,3818.88,2693230368.1920004
601,67.04,66.365,4.5,2498.69,1643294462.2560003
623,87.99,88.165,5.0,3813.69,3291908180.2109995
622,86.59,84.84,9.0,6547.15,5561462818.485001
627,91.74,90.84,7.5,6106.92,5496041128.248
616,81.1,81.55,4.0,2718.5,2162814133.5
630,94.99,95.165,5.0,4117.9,3837272939.0099998
623,87.94,87.92,5.5,4260.63,3675608859.5820003
615,79.64,78.19,8.5,5724.7,4472527209.4800005
609,73.79,73.14,7.0,4567.91,3306618234.0090003
621,86.16,86.765,3.5,2445.67,2067152675.8319998
607,73.21,72.935,3.0,1704.59,1224219662.5589998
606,70.89,70.665,6.0,3756.28,2612233181.0520005
629,93.74,92.84,7.5,6235.34,5733952569.396
592,58.1,57.55,4.0,1808.24,1030626278.64
619,84.04,84.365,4.5,3232.65,2665101397.86
604,69.79,68.14,7.0,4151.46,2842255159.254
613,77.94,77.92,5.5,3788.28,2896486308.7920003
615,81.21,80.935,3.0,1916.21,1526587212.321
616,80.79,80.14,7.0,5038.52,3993278522.1480007
604,69.99,69.165,5.0,2971.63,2040326804.097
597,63.1,62.55,4.0,2020.14,1250488881.5400002
594,59.89,58.665,6.0,2932.27,1722769909.443
622,86.64,85.19,8.5,6351.92,5398740721.728001
604,69.94,68.92,5.5,3302.26,2265718231.764
617,82.04,82.365,4.5,3160.35,2543488868.34
626,90.74,89.84,7.5,6052.62,5387796587.627999
626,90.79,90.14,7.0,5669.32,5049379291.068
627,91.59,89.84,9.0,7004.26,6293312901.054001
614,78.89,78.665,6.0,4212.27,3259921666.743
593,58.94,57.92,5.5,2633.21,1522525708.494
623,87.64,86.19,8.5,6432.8,5530589507.52
618,83.1,83.55,4.0,2781.02,2267118095.22
607,71.94,71.92,5.5,3479.58,2455648864.812
623,87.84,87.415,6.5,5098.97,4393835478.288
630,95.16,95.765,3.5,2614.44,2440630983.024
630,94.79,94.14,7.0,5899.36,5485755280.464
603,68.84,67.415,6.5,3827.62,2584869869.448
628,92.69,91.54,8.0,6533.29,5940648077.481
598,63.74,61.84,7.5,3860.64,2414017269.216
620,84.64,83.19,8.5,6180.53,5131807780.752
595,61.04,60.35,4.5,2215.72,1326778453.728
612,76.59,74.84,9.0,5645.89,4242027595.1310005
630,95.04,95.365,4.5,3630.98,3385316607.552
614,78.79,78.14,7.0,4902.93,3789621194.607001
618,82.69,81.54,8.0,5791.08,4697659815.012
