height_over_sea_level,fall,net,fall_1,flow,power_of_hydroelectrical_turbine
0.8461538461538467,0.8211567732115679,0.8487559749969358,0.08333333333333326,0.14995676854253598,0.21017506971810032
0.9487179487179489,0.9226281075596146,0.9468072067655351,0.08333333333333326,0.16265589728993357,0.238607245329665
0.2820512820512828,0.280314561136479,0.27638190954773867,0.5833333333333333,0.37120158390035457,0.26183517433846315
0.2051282051282044,0.20421106037544412,0.2028434857212893,0.5833333333333333,0.33036531029087696,0.217399499012407
1.0,0.9614408929477425,0.9412918249785514,0.8333333333333333,0.8948249349738016,0.9062958141222611
0.7435897435897427,0.7128361237950283,0.723740654491972,0.5,0.511643851555885,0.48457344253245715
0.2564102564102573,0.256215119228818,0.2579973035911265,0.5,0.30918100107228336,0.21620756118831344
0.7948717948717956,0.7970573313039067,0.8038975364628018,0.0,0.06334706357261899,0.13326738500196808
0.2051282051282044,0.20801623541349556,0.2212280916779017,0.33333333333333326,0.18396730520334897,0.12759608632566202
0.5128205128205128,0.4845256215119229,0.5031253830126241,0.5,0.4246618011138141,0.35201406146545444
0.0,0.003805175038051667,0.019119990194876868,0.41666666666666663,0.14876454698265906,0.0713550313053031
0.0,0.005073566717402445,0.025125628140703293,0.33333333333333326,0.10688642210013583,0.04881613912656316
0.17948717948717885,0.18138001014713345,0.1907096457899251,0.41666666666666663,0.22479641832297742,0.14764082656552266
0.6923076923076916,0.6659056316590566,0.6918740041671771,0.25,0.2724047252072514,0.2808663243699946
0.4615384615384617,0.4337899543378996,0.45409976712832467,0.5,0.40447279998424696,0.3239778778412612
0.4358974358974361,0.4058853373921869,0.4167177350165461,0.6666666666666665,0.5053712624480642,0.3866086825692924
0.4615384615384617,0.46727549467275487,0.4852310332148546,0.0,0.013968325573152474,0.05284693460344614
0.5897435897435894,0.5644342973110099,0.5938227723985781,0.25,0.24615078917548744,0.2392603970593982
0.9487179487179489,0.9132420091324205,0.9069738938595413,0.6666666666666665,0.7357457023634986,0.7439334888665857
0.4358974358974361,0.4096905124302386,0.43583772521142294,0.41666666666666663,0.3326190744708845,0.26763413337217257
0.8717948717948723,0.8346017250126838,0.8187277852678023,0.8333333333333333,0.8312200937666145,0.794962707370343
0.3076923076923084,0.31227803145611355,0.3287167545042282,0.16666666666666663,0.10479913930912016,0.09440142972664686
0.5128205128205128,0.4832572298325726,0.4969971810270868,0.5833333333333333,0.4854131871161305,0.3955927518280681
0.7435897435897427,0.7077625570776256,0.6961637455570537,0.8333333333333333,0.7654187722982129,0.687919903260092
0.9487179487179489,0.9145104008117708,0.9137149160436326,0.5833333333333333,0.6615934596085717,0.6787963928429516
0.6666666666666661,0.6435819381024861,0.6771663194018873,0.08333333333333326,0.11952110643889147,0.15631696810159754
0.1538461538461533,0.158548959918823,0.17710503738203198,0.25,0.11469851652551549,0.0769718593711814
