Epochs,Training Loss,Validation Loss
161.0,257209.08029660184,64101.30261128958
162.0,257209.0802331025,64101.30259518568
163.0,257209.08017038184,64101.30257927927
164.0,257209.08010842555,64101.30256356681
165.0,257209.0800472199,64101.3025480446
166.0,257209.07998675125,64101.302532709364
167.0,257209.07992700656,64101.302517557655
168.0,257209.07986797285,64101.30250258629
169.0,257209.0798096369,64101.30248779196
170.0,257209.07975198742,64101.3024731716
171.0,257209.07969501178,64101.30245872216
172.0,257209.07963869814,64101.30244444065
173.0,257209.07958303532,64101.30243032417
174.0,257209.07952801193,64101.30241636983
175.0,257209.07947361714,64101.30240257494
176.0,257209.0794198401,64101.3023889367
177.0,257209.07936667025,64101.30237545246
178.0,257209.07931409765,64101.30236211967
179.0,257209.07926211183,64101.30234893579
180.0,257209.07921070364,64101.30233589833
181.0,257209.07915986344,64101.30232300484
182.0,257209.07910958113,64101.30231025295
183.0,257209.0790598486,64101.30229764038
184.0,257209.079010656,64101.302285164835
185.0,257209.0789619952,64101.302272824054
186.0,257209.07891385705,64101.30226061593
187.0,257209.07886623335,64101.302248538304
188.0,257209.07881911634,64101.30223658907
189.0,257209.0787724979,64101.302224766274
190.0,257209.0787263696,64101.30221306782
191.0,257209.07868072423,64101.30220149181
192.0,257209.0786355539,64101.30219003632
193.0,257209.0785908516,64101.3021786995
194.0,257209.07854660955,64101.30216747951
195.0,257209.0785028218,64101.30215637448
196.0,257209.0784594799,64101.302145382724
197.0,257209.07841657804,64101.30213450254
198.0,257209.0783741092,64101.30212373215
199.0,257209.0783320674,64101.30211306997
200.0,257209.07829044512,64101.30210251438
201.0,257209.0782492372,64101.30209206375
202.0,257209.07820843707,64101.302081716516
203.0,257209.07816803872,64101.302071471204
204.0,257209.07812803614,64101.30206132631
205.0,257209.07808842344,64101.30205128028
206.0,257209.0780491955,64101.30204133174
207.0,257209.07801034627,64101.3020314793
208.0,257209.0779718701,64101.302021721545
209.0,257209.0779337622,64101.3020120571
210.0,257209.07789601726,64101.3020024847
211.0,257209.07785862967,64101.30199300294
212.0,257209.07782159463,64101.30198361061
213.0,257209.0777849073,64101.30197430636
214.0,257209.07774856212,64101.30196508909
215.0,257209.07771255547,64101.301955957504
216.0,257209.07767688198,64101.30194691043
217.0,257209.07764153683,64101.301937946686
218.0,257209.0776065158,64101.301929065135
219.0,257209.07757181465,64101.30192026466
220.0,257209.07753742876,64101.301911544164
221.0,257209.07750335394,64101.30190290255
222.0,257209.07746958573,64101.301894338714
223.0,257209.07743612028,64101.301885851644
224.0,257209.0774029534,64101.30187744035
225.0,257209.07737008156,64101.30186910374
226.0,257209.0773375001,64101.30186084089
227.0,257209.07730520584,64101.301852650795
228.0,257209.0772731945,64101.30184453254
229.0,257209.07724146254,64101.30183648512
230.0,257209.07721000662,64101.301828507654
231.0,257209.07717882295,64101.3018205992
232.0,257209.07714790732,64101.30181275892
233.0,257209.0771172576,64101.3018049859
234.0,257209.0770868698,64101.30179727926
235.0,257209.07705674015,64101.30178963821
236.0,257209.07702686565,64101.30178206184
237.0,257209.076997243,64101.30177454939
238.0,257209.0769678697,64101.30176710003
239.0,257209.07693874196,64101.301759712995
240.0,257209.0769098564,64101.301752387466
241.0,257209.07688121064,64101.30174512274
242.0,257209.07685280158,64101.301737917966
243.0,257209.07682462625,64101.30173077247
244.0,257209.07679668147,64101.30172368557
245.0,257209.07676896502,64101.3017166564
246.0,257209.0767414736,64101.30170968443
247.0,257209.0767142048,64101.30170276886
248.0,257209.0766871557,64101.301695909046
249.0,257209.07666032398,64101.30168910429
250.0,257209.07663370654,64101.30168235396
251.0,257209.076607301,64101.30167565735
252.0,257209.07658110518,64101.30166901388
253.0,257209.07655511636,64101.30166242289
254.0,257209.07652933174,64101.30165588382
255.0,257209.07650374938,64101.301649395995
